source,file,indicator_code,indicator_name,unit,data_format,notes,name_lower
FAO,Exchange_rate_E_All_Data_(Normalized).csv,Local currency units per USD,Local currency units per USD,,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Element Code, Element..., 255 distinct currencies",local currency units per usd
FAO,Exchange_rate_E_All_Data_(Normalized).csv,Standard local currency units per USD,Standard local currency units per USD,,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Element Code, Element..., 152 distinct currencies",standard local currency units per usd
FAO,Exchange_rate_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area...",m49 code
FAO,Exchange_rate_E_Elements.csv,Local currency units per USD,Local currency units per USD,,long (Element per row),"File structure: Element Code, Element...",local currency units per usd
FAO,Exchange_rate_E_Elements.csv,Standard local currency units per USD,Standard local currency units per USD,,long (Element per row),"File structure: Element Code, Element...",standard local currency units per usd
FAO,Exchange_rate_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description...", description
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Share of Value Added (Total Manufacturing) Standard Local Currency,Share of Value Added (Total Manufacturing) Standard Local Currency,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 3 distinct items",share of value added (total manufacturing) standard local currency
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Annual growth Standard Local Currency,Annual growth Standard Local Currency,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 9 distinct items",annual growth standard local currency
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Value Standard Local Currency,Value Standard Local Currency,million SLC,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 9 distinct items",value standard local currency
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Annual growth US$,Annual growth US$,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 9 distinct items",annual growth us$
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Share of GDP US$,Share of GDP US$,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 5 distinct items",share of gdp us$
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Share of Value Added (Total Manufacturing) US$,Share of Value Added (Total Manufacturing) US$,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 3 distinct items",share of value added (total manufacturing) us$
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Annual growth US$ per capita,Annual growth US$ per capita,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 2 distinct items",annual growth us$ per capita
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Share of GDP Standard Local Currency,Share of GDP Standard Local Currency,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 7 distinct items",share of gdp standard local currency
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Value US$ per capita,Value US$ per capita,USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 2 distinct items",value us$ per capita
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Value US$,Value US$,million USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 9 distinct items",value us$
FAO,Macro-Statistics_Key_Indicators_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area...",m49 code
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of Value Added (Total Manufacturing) Standard Local Currency,Share of Value Added (Total Manufacturing) Standard Local Currency,,long (Element per row),"File structure: Element Code, Element...",share of value added (total manufacturing) standard local currency
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Annual growth Standard Local Currency,Annual growth Standard Local Currency,,long (Element per row),"File structure: Element Code, Element...",annual growth standard local currency
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value Standard Local Currency,Value Standard Local Currency,,long (Element per row),"File structure: Element Code, Element...",value standard local currency
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Annual growth US$,Annual growth US$,,long (Element per row),"File structure: Element Code, Element...",annual growth us$
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of GDP US$,Share of GDP US$,,long (Element per row),"File structure: Element Code, Element...",share of gdp us$
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of Value Added (Total Manufacturing) US$,Share of Value Added (Total Manufacturing) US$,,long (Element per row),"File structure: Element Code, Element...",share of value added (total manufacturing) us$
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Annual growth US$ per capita,Annual growth US$ per capita,,long (Element per row),"File structure: Element Code, Element...",annual growth us$ per capita
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Share of GDP Standard Local Currency,Share of GDP Standard Local Currency,,long (Element per row),"File structure: Element Code, Element...",share of gdp standard local currency
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value US$ per capita,Value US$ per capita,,long (Element per row),"File structure: Element Code, Element...",value us$ per capita
FAO,Macro-Statistics_Key_Indicators_E_Elements.csv,Value US$,Value US$,,long (Element per row),"File structure: Element Code, Element...",value us$
FAO,Macro-Statistics_Key_Indicators_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description...", description
FAO,Macro-Statistics_Key_Indicators_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, Item...",item code
FAO,Macro-Statistics_Key_Indicators_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, Item...",item
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price (SLC/tonne),Producer Price (SLC/tonne),SLC,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 212 distinct items",producer price (slc/tonne)
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price (USD/tonne),Producer Price (USD/tonne),USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 212 distinct items",producer price (usd/tonne)
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price (LCU/tonne),Producer Price (LCU/tonne),LCU,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 214 distinct items",producer price (lcu/tonne)
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price Index (2014-2016 = 100),Producer Price Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 234 distinct items",producer price index (2014-2016 = 100)
FAO,Prices_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area...",m49 code
FAO,Prices_E_Elements.csv,Producer Price (SLC/tonne),Producer Price (SLC/tonne),,long (Element per row),"File structure: Element Code, Element...",producer price (slc/tonne)
FAO,Prices_E_Elements.csv,Producer Price (USD/tonne),Producer Price (USD/tonne),,long (Element per row),"File structure: Element Code, Element...",producer price (usd/tonne)
FAO,Prices_E_Elements.csv,Producer Price (LCU/tonne),Producer Price (LCU/tonne),,long (Element per row),"File structure: Element Code, Element...",producer price (lcu/tonne)
