source,file,indicator_code,indicator_name,unit,data_format,notes
FAO,Exchange_rate_E_All_Data_(Normalized).csv,Local currency units per USD,Local currency units per USD,,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Element Code, Element..., 255 distinct currencies"
FAO,Exchange_rate_E_All_Data_(Normalized).csv,Standard local currency units per USD,Standard local currency units per USD,,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Element Code, Element..., 152 distinct currencies"
FAO,Exchange_rate_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area..."
FAO,Exchange_rate_E_Elements.csv,Local currency units per USD,Local currency units per USD,,long (Element per row),"File structure: Element Code, Element..."
FAO,Exchange_rate_E_Elements.csv,Standard local currency units per USD,Standard local currency units per USD,,long (Element per row),"File structure: Element Code, Element..."
FAO,Exchange_rate_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Share of Value Added (Total Manufacturing) Standard Local Currency,Share of Value Added (Total Manufacturing) Standard Local Currency,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 3 distinct items"
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Annual growth Standard Local Currency,Annual growth Standard Local Currency,%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 9 distinct items"
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,"Value US$, 2015 prices","Value US$, 2015 prices",million USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 10 distinct items"
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,"Ratio of Value Added (Agriculture, Forestry and Fishing) US$","Ratio of Value Added (Agriculture, Forestry and Fishing) US$",,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 4 distinct items"
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,Value Standard Local Currency,Value Standard Local Currency,million SLC,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 9 distinct items"
FAO,Macro-Statistics_Key_Indicators_E_All_Data_(Normalized).csv,"Annual growth US$ per capita, 2015 prices","Annual growth US$ per capita, 2015 prices",%,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item..., 1 distinct items"
